stock_code,windcode,windcode_rule,company_name,company_display,list_date,list_year,performance_class,is_unprofitable_proxy,day1_return,day5_return,page_count,likely_scanned,pdf_filename,pdf_path_relative,sample_reason
01364,1364.HK,strip_zero,古茗,古茗,2025-02-04,2025,平稳,False,-0.06999999999999992,-0.026999999999999958,592,False,01364_04-02-2025_хПдшМЧ_хЕичРГчЩ╝хФо.pdf,dataset/2025/01364_04-02-2025_хПдшМЧ_хЕичРГчЩ╝хФо.pdf,年份覆盖:2025
02097,2097.HK,strip_zero,蜜雪集团,蜜雪集团,2025-02-21,2025,暴涨,False,0.1068702290076336,0.5015267175572519,558,True,02097_21-02-2025_шЬЬщЫкщЫЖхЬШ_хЕичРГчЩ╝хФо.pdf,dataset/2025/02097_21-02-2025_шЬЬщЫкщЫЖхЬШ_хЕичРГчЩ╝хФо.pdf,年份覆盖:2025
06031,6031.HK,strip_zero,三一重工,三一重工,2025-10-20,2025,平稳,False,0.028169014084506942,0.06666666666666657,906,False,06031_20-10-2025_ф╕Йф╕АщЗНх╖е_хЕичРГчЩ╝хФо.pdf,dataset/2025/06031_20-10-2025_ф╕Йф╕АщЗНх╖е_хЕичРГчЩ╝хФо.pdf,种子样本:三一重工
03750,3750.HK,strip_zero,宁德时代,宁德时代,2025-05-12,2025,平稳,False,0.03445945945945942,0.04391891891891892,626,False,03750_12-05-2025_хпзх╛╖цЩВф╗г_хЕичРГчЩ╝хФо.pdf,dataset/2025/03750_12-05-2025_хпзх╛╖цЩВф╗г_хЕичРГчЩ╝хФо.pdf,种子样本:宁德时代
03288,3288.HK,strip_zero,海天味业,海天味业,2025-06-11,2025,破发/走弱,False,-0.02666666666666667,-0.06533333333333341,562,False,03288_11-06-2025_ц╡╖хдйхС│цен_хЕичРГчЩ╝хФо.pdf,dataset/2025/03288_11-06-2025_ц╡╖хдйхС│цен_хЕичРГчЩ╝хФо.pdf,种子样本:海天味业
01276,1276.HK,strip_zero,恒瑞医药,恒瑞医药,2025-05-15,2025,平稳,False,-0.03245614035087722,0.017543859649122806,683,False,01276_15-05-2025_цБТчСЮщЖлшЧе_хЕичРГчЩ╝хФо.pdf,dataset/2025/01276_15-05-2025_цБТчСЮщЖлшЧе_хЕичРГчЩ╝хФо.pdf,种子样本:恒瑞医药
01828,1828.HK,strip_zero,富卫集团,富卫集团,2025-06-26,2025,平稳,False,0.01052631578947365,0.006578947368421052,963,True,01828_26-06-2025_хпМшбЫщЫЖхЬШ_хЕичРГчЩ╝хФо.pdf,dataset/2025/01828_26-06-2025_хпМшбЫщЫЖхЬШ_хЕичРГчЩ╝хФо.pdf,种子样本:富卫集团
01384,1384.HK,strip_zero,滴普科技,滴普科技,2025-10-20,2025,暴涨,False,0.1823008849557521,0.7876106194690266,628,False,01384_20-10-2025_ц╗┤цЩочзСцКА_хЕичРГчЩ╝хФо.pdf,dataset/2025/01384_20-10-2025_ц╗┤цЩочзСцКА_хЕичРГчЩ╝хФо.pdf,种子样本:滴普科技
02589,2589.HK,strip_zero,沪上阿姨,沪上阿姨,2025-04-28,2025,暴跌,False,-0.16894018887722975,-0.3300104931794333,571,False,02589_28-04-2025_ц╗мф╕КщШ┐хзи_хЕичРГчЩ╝хФо.pdf,dataset/2025/02589_28-04-2025_ц╗мф╕КщШ┐хзи_хЕичРГчЩ╝хФо.pdf,种子样本:沪上阿姨
09999,9999.HK,strip_zero,網易－Ｓ,網易－Ｓ,2020-06-02,2020,平稳,False,-0.022556390977443608,-0.04736842105263156,458,False,09999_02-06-2020_網易－Ｓ_全球發售.pdf,dataset/2020/09999_02-06-2020_網易－Ｓ_全球發售.pdf,种子样本:網易
06688,6688.HK,,螞蟻集團,螞蟻集團,2020-10-26,2020,无行情,False,,,752,True,06688_26-10-2020_螞蟻集團_H股首次公開發售.pdf,dataset/2020/06688_26-10-2020_螞蟻集團_H股首次公開發售.pdf,种子样本:螞蟻
09926,9926.HK,strip_zero,康方生物－Ｂ,康方生物－Ｂ,2020-04-14,2020,平稳,True,0.03404255319148939,0.0425531914893617,600,False,09926_14-04-2020_康方生物－Ｂ_全球發售.pdf,dataset/2020/09926_14-04-2020_康方生物－Ｂ_全球發售.pdf,种子样本:康方
09688,9688.HK,strip_zero,再鼎醫藥－ＳＢ,再鼎醫藥－ＳＢ,2020-09-17,2020,平稳,True,-0.005704971475142625,0.08149959250203749,597,False,09688_17-09-2020_再鼎醫藥－ＳＢ_全球發售.pdf,dataset/2020/09688_17-09-2020_再鼎醫藥－ＳＢ_全球發售.pdf,种子样本:再鼎
01167,1167.HK,strip_zero,加科思－Ｂ,加科思－Ｂ,2020-12-09,2020,破发/走弱,True,-0.09762202753441804,-0.09887359198998748,520,False,01167_09-12-2020_加科思－Ｂ_全球發售.pdf,dataset/2020/01167_09-12-2020_加科思－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
01477,1477.HK,strip_zero,歐康維視生物－Ｂ,歐康維視生物－Ｂ,2020-06-29,2020,暴跌,True,-0.13953488372093026,-0.3104651162790698,578,True,01477_29-06-2020_歐康維視生物－Ｂ_全球發售.pdf,dataset/2020/01477_29-06-2020_歐康維視生物－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
01952,1952.HK,strip_zero,雲頂新耀－Ｂ,雲頂新耀－Ｂ,2020-09-25,2020,破发/走弱,True,0.031183557760453617,-0.0715804394046775,553,False,01952_25-09-2020_雲頂新耀－Ｂ_全球發售.pdf,dataset/2020/01952_25-09-2020_雲頂新耀－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
02126,2126.HK,strip_zero,藥明巨諾－Ｂ,藥明巨諾－Ｂ,2020-10-22,2020,平稳,True,-0.09650924024640664,0.17248459958932233,840,False,02126_22-10-2020_藥明巨諾－Ｂ_全球發售.pdf,dataset/2020/02126_22-10-2020_藥明巨諾－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
02142,2142.HK,strip_zero,和鉑醫藥－Ｂ,和鉑醫藥－Ｂ,2020-11-30,2020,破发/走弱,True,-0.07705192629815745,-0.09715242881072028,654,False,02142_30-11-2020_和鉑醫藥－Ｂ_全球發售.pdf,dataset/2020/02142_30-11-2020_和鉑醫藥－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
03347,3347.HK,strip_zero,泰格醫藥,泰格醫藥,2020-07-28,2020,破发/走弱,True,-0.04789915966386557,-0.07394957983193275,692,False,03347_28-07-2020_泰格醫藥_全球發售.pdf,dataset/2020/03347_28-07-2020_泰格醫藥_全球發售.pdf,未盈利/生物科技代理标记
06978,6978.HK,strip_zero,永泰生物－Ｂ,永泰生物－Ｂ,2020-06-29,2020,破发/走弱,True,0.15522388059701492,-0.14029850746268666,575,False,06978_29-06-2020_永泰生物－Ｂ_全球發售.pdf,dataset/2020/06978_29-06-2020_永泰生物－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
06996,6996.HK,strip_zero,德琪醫藥－Ｂ,德琪醫藥－Ｂ,2020-11-09,2020,破发/走弱,True,-0.06734693877551022,-0.19387755102040816,628,False,06996_09-11-2020_德琪醫藥－Ｂ_全球發售.pdf,dataset/2020/06996_09-11-2020_德琪醫藥－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
06998,6998.HK,strip_zero,嘉和生物－Ｂ,嘉和生物－Ｂ,2020-09-23,2020,破发/走弱,True,-0.04280821917808219,-0.136986301369863,703,False,06998_23-09-2020_嘉和生物－Ｂ_全球發售.pdf,dataset/2020/06998_23-09-2020_嘉和生物－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
09939,9939.HK,strip_zero,開拓藥業－Ｂ,開拓藥業－Ｂ,2020-05-12,2020,暴跌,True,0.06699751861042191,-0.2843672456575682,512,False,09939_12-05-2020_開拓藥業－Ｂ_全球發售.pdf,dataset/2020/09939_12-05-2020_開拓藥業－Ｂ_全球發售.pdf,未盈利/生物科技代理标记
01156,1156.HK,strip_zero,CHINANEWENERGY,CHINANEWENERGY,2020-06-30,2020,暴跌,False,-0.4166666666666667,-0.575,498,False,01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,dataset/2020/01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,上市后暴跌
01351,1351.HK,strip_zero,輝煌明天,輝煌明天,2020-10-28,2020,暴跌,False,-0.13173652694610774,-0.21556886227544905,487,False,01351_28-10-2020_輝煌明天_股份發售.pdf,dataset/2020/01351_28-10-2020_輝煌明天_股份發售.pdf,上市后暴跌
01433,1433.HK,strip_zero,常達控股,常達控股,2020-02-28,2020,暴跌,False,-0.06832298136645969,-0.2546583850931677,486,True,01433_28-02-2020_常達控股_全球發售.pdf,dataset/2020/01433_28-02-2020_常達控股_全球發售.pdf,上市后暴跌
01449,1449.HK,strip_zero,立德教育,立德教育,2020-07-27,2020,暴跌,False,-0.06565656565656561,-0.2121212121212121,611,False,01449_27-07-2020_立德教育_全球發售.pdf,dataset/2020/01449_27-07-2020_立德教育_全球發售.pdf,上市后暴跌
01455,1455.HK,strip_zero,科利實業控股,科利實業控股,2020-08-31,2020,暴跌,False,0.3894736842105265,-0.5368421052631579,494,False,01455_31-08-2020_科利實業控股_全球發售.pdf,dataset/2020/01455_31-08-2020_科利實業控股_全球發售.pdf,上市后暴跌
01645,1645.HK,strip_zero,海納智能,海納智能,2020-05-20,2020,暴跌,False,-0.008264462809917363,-0.3223140495867769,430,True,01645_20-05-2020_海納智能_股份發售.pdf,dataset/2020/01645_20-05-2020_海納智能_股份發售.pdf,上市后暴跌
00589,0589.HK,pad4,建中建設,建中建設,2020-02-28,2020,暴涨,False,0.30344827586206896,0.406896551724138,566,False,00589_28-02-2020_建中建設_股份發售.pdf,dataset/2020/00589_28-02-2020_建中建設_股份發售.pdf,上市后暴涨
01343,1343.HK,strip_zero,偉源控股,偉源控股,2020-02-25,2020,暴涨,False,0.1285714285714287,0.5428571428571429,482,False,01343_25-02-2020_偉源控股_股份發售.pdf,dataset/2020/01343_25-02-2020_偉源控股_股份發售.pdf,上市后暴涨
01408,1408.HK,strip_zero,濠江機電,濠江機電,2020-08-31,2020,暴涨,False,0.3619047619047618,0.6666666666666666,503,False,01408_31-08-2020_濠江機電_全球發售.pdf,dataset/2020/01408_31-08-2020_濠江機電_全球發售.pdf,上市后暴涨
01472,1472.HK,strip_zero,生興控股,生興控股,2020-02-28,2020,暴涨,False,0.3777777777777777,0.6666666666666666,454,False,01472_28-02-2020_生興控股_股份發售.pdf,dataset/2020/01472_28-02-2020_生興控股_股份發售.pdf,上市后暴涨
01940,1940.HK,strip_zero,CGII HLDGS,CGII HLDGS,2020-12-16,2020,暴涨,False,-0.04705882352941168,0.3529411764705881,553,True,01940_16-12-2020_CGII HLDGS_全球發售.pdf,dataset/2020/01940_16-12-2020_CGII HLDGS_全球發售.pdf,上市后暴涨
01950,1950.HK,strip_zero,深藍科技控股,深藍科技控股,2020-02-27,2020,暴涨,False,0.02000000000000001,0.56,580,False,01950_27-02-2020_深藍科技控股_全球發售.pdf,dataset/2020/01950_27-02-2020_深藍科技控股_全球發售.pdf,上市后暴涨
01147,1147.HK,strip_zero,伊登軟件,伊登軟件,2020-04-23,2020,破发/走弱,False,-0.2274881516587677,-0.18483412322274886,458,False,01147_23-04-2020_伊登軟件_股份發售.pdf,dataset/2020/01147_23-04-2020_伊登軟件_股份發售.pdf,破发/走弱
01376,1376.HK,strip_zero,RAFFLESINTERIOR,RAFFLESINTERIOR,2020-04-21,2020,破发/走弱,False,-0.14864864864864866,-0.1216216216216216,454,False,01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,dataset/2020/01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,破发/走弱
01463,1463.HK,strip_zero,C-LINK SQ,C-LINK SQ,2020-03-17,2020,破发/走弱,False,-0.21100917431192667,-0.10091743119266064,508,False,01463_17-03-2020_C-LINK SQ_股份發售.pdf,dataset/2020/01463_17-03-2020_C-LINK SQ_股份發售.pdf,破发/走弱
01490,1490.HK,strip_zero,CHESHI,CHESHI,2020-12-31,2020,破发/走弱,False,-0.11764705882352935,-0.2,531,False,01490_31-12-2020_CHESHI_全球發售.pdf,dataset/2020/01490_31-12-2020_CHESHI_全球發售.pdf,破发/走弱
01597,1597.HK,strip_zero,納泉能源科技,納泉能源科技,2020-09-29,2020,破发/走弱,False,-0.014285714285714403,-0.18571428571428572,550,False,01597_29-09-2020_納泉能源科技_全球發售.pdf,dataset/2020/01597_29-09-2020_納泉能源科技_全球發售.pdf,破发/走弱
01643,1643.HK,strip_zero,現代中藥集團,現代中藥集團,2020-12-31,2020,破发/走弱,False,0.076923076923077,-0.11111111111111102,563,False,01643_31-12-2020_現代中藥集團_全球發售.pdf,dataset/2020/01643_31-12-2020_現代中藥集團_全球發售.pdf,破发/走弱
00368,0368.HK,pad4,德合集團,德合集團,2020-06-30,2020,平稳,False,0.0,-0.02857142857142844,420,True,00368_30-06-2020_德合集團_股份發售.pdf,dataset/2020/00368_30-06-2020_德合集團_股份發售.pdf,疑似扫描件
01179,1179.HK,strip_zero,華住集團－Ｓ,華住集團－Ｓ,2020-09-11,2020,平稳,False,0.019672131147540985,0.11672131147540993,599,True,01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,dataset/2020/01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,疑似扫描件
01379,1379.HK,strip_zero,温嶺工量刃具,温嶺工量刃具,2020-12-11,2020,平稳,False,-0.013029315960912065,0.03583061889250825,510,True,01379_11-12-2020_温嶺工量刃具_全球發售.pdf,dataset/2020/01379_11-12-2020_温嶺工量刃具_全球發售.pdf,疑似扫描件
